Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
Επαρχιακό Γραφείο Παιδείας-Πάφος,,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8100,77777373
Επαρχιακό Γραφείο Πολεοδομίας και Οικήσεως-Λάρνακα,,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,6306,77777373
Επαρχιακό Γραφείο Στατιστικής και Ερευνών-Λάρνακα,,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,6302,77777373
Επαρχιακό Γραφείο Φόρου Προστιθέμενης Αξίας-Λάρνακα,,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,6309,77777373
Επαρχιακό Γραφείο Φόρου Προστιθέμενης Αξίας-Λεμεσός,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,3314,77777373
Επαρχιακό Γραφείο Φόρου Προστιθέμενης Αξίας-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1482,77777373
Επαρχιακό Γραφείο Φόρου Προστιθέμενης Αξίας-Πάφος,,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8062,77777373
Επαρχιακό Δικαστήριο-Λάρνακα,,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,6301,77777373
Επαρχιακό Δικαστήριο-Λεμεσός,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,3726,77777373
Επαρχιακό Δικαστήριο-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1405,77777373
Επαρχιακό Δικαστήριο-Πάφος,,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8100,77777373
Επαρχιακό Κέντρο Ελέγχου Μηχανοκινήτων Οχημάτων-Λάρνακα,,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,6301,77777373
Επαρχιακό Κτηματολογικό Γραφείο-Λάρνακα,,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,6301,77777373
Επαρχιακό Κτηματολογικό Γραφείο-Λάρνακα,,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,6304,77777373
Επαρχιακό Κτηματολογικό Γραφείο-Λεμεσός,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,3601,77777373
Επαρχιακό Κτηματολογικό Γραφείο-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1459,77777373
Επαρχιακό Κτηματολογικό Γραφείο-Πάφος,,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8100,77777373
Επαρχιακό Μουσείο-Λάρνακα,,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,6305,77777373
Επαρχιακό Μουσείο-Λεμεσός,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,3401,77777373
Επαρχιακό Μουσείο-Πάφος,,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8100,77777373
Επίσημος Παραλήπτης και 'Εφορος-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1427,77777373
Επισκοπειό,D1,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2642,77777373
Επισκοπή,D3,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8524,77777373
Επισκοπή,ΔΧ,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4620,77777373
Επιτροπή Ανακουφίσεως Παθόντων-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1462,77777373
Επιτροπή Δημόσιας Υπηρεσίας-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1407,77777373
Επιτροπή Εκπαιδευτικής Υπηρεσίας-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1408,77777373
Επιτροπή Κυβερνητικού Υδατικού Εργου Πολεμιδίων - Γερμασόγειας-Λεμεσός,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,3313,77777373
Επιτροπή Προστασίας Νοητικά Καθυστερημένων Ατόμων-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1680,77777373
Επιτροπή Σιτηρών-Λάρνακα,,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,6300,77777373
Επίτροπος Προστασίας των Δικαιωμάτων του Παιδιού-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1496,77777373
Επιχώ,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2522,77777373
Επταγώνεια,D3,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4506,77777373
Εργάτες,D1,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2643,77777373
Εργάτες,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2654,77777373
Ερήμη,ΔΧ,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4630,77777373
Ευρέτου,D3,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8805,77777373
Ευρύχου,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2831,77777373
Εφορεία Ελληνικών Εκπαιδευτηρίων Λευκωσίας-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1500,77777373
Εφοριακό Συμβούλιο-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1648,77777373
Ζανατζιά,D2,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4713,77777373
Ζανατζιά (Ζανακιά),D2,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4713,77777373
Ζαχαριά,D3,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8806,77777373
Ζύγι,D2,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,7739,77777373
Ζωοπηγή,D3,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4565,77777373
Ηλιούπολη,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2546,77777373
Θελέτρα,D3,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8723,77777373
Ιατρικές Υπηρεσίες και Υπηρεσίες Δημόσιας Υγείας-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1449,77777373
Ίδρυμα Κρατικών Υποτροφιών Κύπρου-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1687,77777373
Ίνεια,D3,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8704,77777373
Ινστιτούτο Γεωργικών Ερευνών -Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1516,77777373
Ινστιτούτο Ξένων Γλωσσών Πάφου-Πάφος,,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8102,77777373
Ινστιτούτο Ξένων Γλωσσών-Λεμεσός,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,3503,77777373
Κάθικας,D2,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8573,77777373
Καϊμακλί,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1020,77777373
Καϊμακλί,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1021,77777373
Καϊμακλί,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1022,77777373
Καϊμακλί,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1025,77777373
Καϊμακλί,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1026,77777373
Καϊμακλί,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1027,77777373
Καϊμακλί,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1028,77777373
Καϊμακλί,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1036,77777373
Καϊμακλί,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1037,77777373
Καϊμακλί,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1041,77777373
ΚΑΚΟΠΕΤΡΙΑ,,SL ΛΕΥΚΩΣΙΑ ΣΟΛΕΑΣ,ΚΥΠΡΟΣ,ΑΡΧ. ΜΑΚΑΡΙΟΥ 55,9981,77777373
Κακοπετριά,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2800,77777373
Κακοπετριά,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2810,77777373
Κακοπετριά,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2811,77777373
Καλαβασός,D2,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,7733,77777373
Καλιάνα,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2832,77777373
Καλλέπεια,D2,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8541,77777373
Καλλιθέα,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2548,77777373
Καλό Χωριό Λάρνακας,D1,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,7643,77777373
Καλό Χωριό Λεμεσού,D3,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4566,77777373
Καλό Χωριό Λεύκας,D3,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2833,77777373
Καλό Χωριό Ορεινής,D1,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2616,77777373
Καλοπαναγιώτης,D3,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2862,77777373
Καλυβάκια,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2523,77777373
Καμινάρια,D3,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4843,77777373
Καμπί Φαρμακά,D3,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2619,77777373
Καμπιά,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2644,77777373
Κάμπος,D3,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2863,77777373
Καννάβια,D3,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2834,77777373
Κανναβιού,D3,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8746,77777373
Καντού,D1,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4631,77777373
Καπέδες,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2645,77777373
Καπηλειό,D3,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4544,77777373
Καταλιόντας,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2646,77777373
Κατύδατα,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2835,77777373
Κάτω Δευτερά,ΔΧ,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2456,77777373
Κάτω Δευτερά,ΔΧ,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2457,77777373
Κάτω Μονή,D3,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2776,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4150,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4151,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4152,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4153,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4154,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4155,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4156,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4157,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4158,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4159,77777373
Κάτω Πολεμίδια,,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4170,77777373
Κέδαρες,D3,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8626,77777373
Κελλάκι,D3,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4500,77777373
Κελλιά,D1,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,7503,77777373
Κελοκέδαρα,D3,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8628,77777373
ΚΕΝΤΡΙΚΑ,,NC ΚΕΝΤΡΙΚΑ ΓΡΑΦΕΙΑ ΚΥΠΡΟΥ,ΚΥΠΡΟΣ,"ΒΑΡΚΙΖΑΣ 14, ΒΙΠΕ ΣΤΡΟΒΟΛΟΥ",9967,77777373
Κεντρικό Εργαστήριο Τμήματος Δημοσίων Εργων-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1483,77777373
Κέντρο Επαγγελματικής Αποκατάστασης Αναπήρων-Λευκωσία,,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,1684,77777373
